t,y,s^e,in^T,in^e,in,k,gr_k,u,rr_l,π,i,s,S,IN,I,K,Y,ω^T,ER,z_3,z_4,z_5,W,pr,N^T,N,WB,UC,NUC,NHUC,p,φ,φ^T,HC^e,σ_se,F^T_f,FU^T_f,FD_f,F_f,FU_f,L_fd,V_f,NPL,e_s,r_K,PE,q,YP,T,YD_r,YD_hs,CG,V,v,C,c,yd^e_r,yd_r,GL,η,NL,REP,L_hd,nl,BUR,B_hd,BL_d,p_e,M_d,V_fma,H_hd,e_d,G,g,PSBR,B_s,GD,F_cb,BL_s,B_hs,H_hs,H_bs,H_s,B_cbd,B_cbs,r_b,r_bL,p_bL,M_s,L_fs,L_hs,H_bd,B_bs,B_bd,BLR,r_m,z_2a,z_2b,z_1a,z_1b,r_l,OF^T_b,OF^e_b,FU^T_b,npl^e,FD_b,F^T_b,F_b,add_l,FU_b,OF_b,CAR,L_s
0,12407579.44585678,12346905.772676485,2469381.1545352973,2125563.6731802947,2111131.7984376927,18264541.55405498,0.02789376686542104,0.6982750449300057,0.08362733134578955,0.0025917265909237036,2391050.117054978,12304662.54535297,88481458.12414072,11892271.758405022,17193775.125903133,131338284.38733387,88741944.0085488,116237.6129875987,1.0,1.0,2.7607514625845467e-36,-6.855151969524349e-36,803389.4042603576,142818.77,86.87639198864953,86.99823519318971,69893460.34355916,5.633126158776959,5.625236824685983,5.688229146893298,7.190888640628101,0.26417,0.2647629431486941,70260755.27704579,0.1672394718172686,18602444.355,15558672.0,2758271.805,17832398.992581576,14809448.644341573,16675041.481561558,31651266.33199583,319258.0,5186.537910856458,0.030077755715546203,5.24614329070921,0.5935017268962655,76769806.59855916,17537294.619374853,57823329.52718429,59826678.18672398,2003348.6595396833,171280812.62507683,23819144.084272176,53984644.59934715,7507367.628297991,8014617.40883299,7981566.71766598,2353933.82258134,0.04070906746168418,193273.82258134018,2160660.0,21799873.82258134,26877.599173119495,0.06324304919357121,34671945.8798055,878045.8836168525,18298.188495552684,41209870.21124832,164950661.21186948,2699232.2299673576,5186.537910856458,17303038.398890436,2406244.8,1930504.6295155843,43737052.200118266,59701522.81133376,162949.15,878045.8836168525,34671945.8798055,2699232.2299673576,2060493.5105624162,4759725.740529774,4759725.740529774,4759725.740529774,0.035,0.05500000000000001,18.18181818181818,41209870.21124832,16675041.481561558,21799873.82258134,2060493.5105624162,4305380.57978299,4305380.5797830075,0.10447449986406036,0.0193,-8.570348760452052e-51,-9.520007425660131e-53,-2.960472121894147e-50,-1.2415561359909407e-50,0.08643579711508988,3756950.0,3587198.0,432426.00000000006,0.02,1325097.81,1757523.8099999998,1801244.99324,0.06713579711508988,476147.18323999987,3630919.18324,0.09437107670121447,38474915.3041429
1,12702982.497530462,12640439.094462244,2528087.8188924487,2173675.2015059073,2148081.360437947,18774085.09194387,0.027897964828782908,0.6954996631005081,0.08235787417717384,0.002973960521823182,2457822.1854599705,12607075.767210929,90925685.52271841,12150972.243708124,17726487.191188492,135403846.9004918,91134696.74117309,119724.74137722666,0.997903616535595,1.0,7.194772869951619e-54,-5.941799743220424e-53,829638.7598159887,147103.3331,86.35414459901756,86.61178083668644,71856490.43910615,5.656662949272481,5.639836585158411,5.703005776913191,7.2122740595621435,0.264644354518955,0.26147577740477645,72480932.21095404,0.16701411894487625,18952008.095588174,15818273.1158309,2720332.46631832,18041278.09466526,14936369.524955705,17756157.308083564,31446652.184003063,333500.829631231,5260.103081382542,0.02866396935990355,5.375257070658063,0.5949514772901611,78821489.13324241,18005980.977597896,58931218.684781305,61964346.81008825,3033128.1253069397,177921092.96417066,24669208.55960857,55324066.47099437,7670821.437750957,8160674.381477861,8100335.043759762,2428959.220225603,0.04121685032913046,248971.83796747276,2179987.38225813,22048845.660548773,34520.57366552211,0.07028783859999968,35999958.62480308,914820.5820554538,18697.73427068614,41626877.53364127,170563101.64192623,2766203.3235497186,5260.103081382542,17875131.86053556,2478432.144,2111403.19264011,45179824.51205657,61812926.0039739,166590.400918542,914820.5820554538,35999958.62480308,2766203.3235497186,2081343.8766820633,4847547.200231782,4847547.200231782,4847547.200231782,0.035,0.05500000000000001,18.18181818181818,41626877.53364127,17756157.308083564,22048845.660548773,2081343.8766820633,4332318.687021701,4332318.687021584,0.10407503381611609,0.0193,2.5870216634152733e-68,-1.1260470511744183e-69,3.1473841996670436e-67,-8.098851111381514e-68,0.08557676376552012,3847491.53041429,3717548.122109716,420129.7685009478,0.02,1357751.7433308,1777881.5118317476,2652121.388416751,0.06627676376552012,1294369.6450859508,4591787.99869472,0.11535705706053506,39805002.96863234
2,13056241.747235483,12988790.24398173,2597758.0487963464,2215532.863691702,2149366.3362809382,19308196.966565717,0.028449422275762856,0.6954395744609702,0.07545560879262551,0.0007332017092924285,2536743.531379519,12992292.4477362,93772677.7088369,12180610.769872041,18309103.997999217,139358110.86209592,93779959.7576508,123316.48361854347,0.993470834662214,1.0,7.078830288703916e-72,-5.3580952933586184e-70,856898.9113970895,151516.433093,86.17046666619252,86.34699233439011,73990643.73373008,5.667070598562546,5.6554849787895805,5.718649730666747,7.217562111230525,0.262109492827612,0.2618426732444779,74625875.7054952,0.1653796327516897,19540238.78735067,16308368.2158934,2752196.97334119,18742194.09388562,15540713.812015094,18751306.372611348,32692120.387470406,355123.146161671,5335.697583595838,0.02798312899834273,5.264974602211776,0.587793049568115,81115419.43753405,18530006.416310277,60698544.16482857,61998451.866802745,1299907.7019741777,182880856.19606432,25338314.1533977,57038688.634908885,7902763.808036682,8367555.532809398,8391765.970546236,2669385.7941727736,0.0439777564829498,464501.2281178938,2204884.56605488,22513346.888666693,64357.08081957841,0.06943269651925171,37743747.623188056,974486.3622675202,18759.55173689404,41418762.84231653,174462392.30813357,2851934.4317454444,5335.697583595838,18424885.075928807,2552785.10832,2221328.9475878505,46316321.092152335,64034254.95156178,169664.152008112,974486.3622675202,37743747.623188056,2851934.4317454444,2070938.1421158265,4922872.573861271,4922872.573861271,4922872.573861271,0.035,0.05500000000000001,18.18181818181818,41418762.84231653,18751306.372611348,22513346.888666693,2070938.1421158265,3649700.8951029936,3649700.8951079734,0.08811709101729044,0.0193,-1.978533642383462e-86,-6.577577829150168e-87,3.2593681960526752e-84,7.59432796665465e-85,0.07624413468318031,3980500.29686323,4347272.917962122,110608.06542907536,0.02,1394360.8601399502,1504968.9255690246,2724225.463792214,0.056944134683180304,1329864.6036522642,5566529.456185313,0.1348982486484416,41264653.26127804
3,13493589.329291468,13413586.67935302,2682717.335870604,2229368.9862193908,2131615.7152863466,19875846.927799113,0.02939942876159617,0.6988528940665515,0.06592549961452324,0.0018084663893930995,2627255.331656915,13445112.137537757,97216427.20898724,12070632.469666675,18996671.362551086,143714593.54947037,97115911.33248653,127015.97812709978,0.990433607487757,1.0,1.5272130770813604e-89,1.561137059051937e-87,884201.6199584604,156061.92608579,86.46304494457203,86.4166239004992,76409718.8441972,5.662668173740538,5.665710030211639,5.72996080246737,7.230614829722026,0.261896037161105,0.2627545747937861,76894852.93499945,0.16023800253150372,20204474.387678985,16844375.6781593,2859121.70902225,19878009.2367285,16546504.069779992,19361720.218103334,34898662.08007051,375026.127452227,5413.804103116262,0.028563997065812936,5.0337090711221135,0.5796552318048148,83798573.58944732,19142946.150773343,62939116.78632531,63540029.45063968,600912.6643143691,187213081.8374245,25891723.767092727,59207803.80927906,8188488.144311244,8651154.995062444,8658791.040462267,3007847.813071635,0.0477898001541907,756513.1242049654,2251334.68886667,23269860.012871664,104626.38959594732,0.06536969536601296,38793133.4865996,1007022.7203135925,18752.958508886055,42692448.855318174,178050070.055711,2960390.190463953,5413.804103116262,19011952.037157085,2629368.6615696,2292262.9467914496,48017013.89265151,66326517.89835318,172300.540085145,1007022.7203135925,38793133.4865996,2960390.190463953,2134622.442765909,5095012.633229862,5095012.633229862,5095012.633229862,0.035,0.055,18.18181818181818,42692448.855318174,19361720.218103334,23269860.012871664,2134622.442765909,4128867.772822036,4128867.772826803,0.09671189832240436,0.0193,-1.1027199311093455e-103,1.0857788653522429e-104,1.3727782737173566e-101,3.523854149433445e-102,0.06785319005407492,4126465.3261278,4990503.80416231,-200999.52457077397,0.02,1434833.38429206,1233833.859721276,2445951.646808511,0.04855319005407492,1011118.262516451,6202621.591249534,0.1454935884995638,42631580.230974995
4,13964671.660525078,13868363.124095183,2773672.624819037,2227924.2517162454,2139658.571576809,20475102.676203996,0.030149947852876204,0.7025950497230666,0.06012696850451234,0.002353443116451484,2719412.3401932013,13888260.746526485,100656998.43406464,12118954.968165496,19709299.0026454,148396002.61227852,100702552.90426955,130826.45747091301,0.991232308650958,1.0,-4.739095223780141e-106,-4.0322383110542614e-104,912374.4595393353,160743.783868364,86.8753448760953,86.69185648585687,79095435.71023427,5.66396673254903,5.6759548492840475,5.740321572798915,7.247631670420731,0.26258286726725,0.26464727824436685,79366210.24574302,0.1537034829767301,21004051.52530554,17476937.653547,3032390.30906293,20742532.80479319,17241694.022669308,19922358.085091535,36350688.86387499,387234.404362067,5493.89917932941,0.029868455817542907,4.952248501934958,0.5777181413621179,86802446.11793646,19829150.791181404,65394361.092769966,66905546.182120286,1511185.0893503095,192799325.04050136,26601700.22530805,61319302.979043856,8460598.684916597,8940311.239922175,8962067.70816821,3276859.9684917084,0.05010921259819497,949873.967204538,2326986.00128717,24219733.980076198,131059.91184137674,0.062058707441552466,39310045.92156771,1012285.2957979725,18974.121517201453,45479476.643528394,183216886.41282418,3065965.1489521926,5493.89917932941,19628396.45237541,2708249.72141669,2308538.4255873505,50229869.127613716,68635056.32394047,178325.442163045,1012285.2957979725,39310045.92156771,3065965.1489521926,2273973.83217642,5339938.9811286125,5339938.9811286125,5339938.9811286125,0.034999999999999996,0.05499999999999999,18.181818181818187,45479476.643528394,19922358.085091535,24219733.980076198,2273973.83217642,5579884.224917378,5579884.224909203,0.12269015917517703,0.018600001244817182,3.973100515055365e-120,0.9999999884203825,-3.7171424177294477e-118,-1.2546660035812583e-118,0.0626219170065869,4263158.0230975,5426836.163988721,-388551.0228987433,0.020000000000000018,1485873.44338704,1097322.4204882968,2186959.735224534,0.04402191576176961,701086.2918374939,6516473.4787249565,0.14762493514795233,44142092.06516773
5,14431771.276767967,14323029.18689756,2864605.8373795124,2248400.6614472168,2160072.8117578914,21103973.065757237,0.030713906518481313,0.7048448794125203,0.056358459676719895,0.0033314322792277876,2812949.592023938,14341149.80487284,104285638.49338965,12259063.061056174,20455141.20173905,153463378.86814594,104401495.44791621,134751.25119504047,0.994389333522865,1.0,-1.1831595377211517e-123,5.130121258033406e-122,941687.3098346483,165566.097384415,87.1662224619998,86.97647607154258,81904643.77060021,5.675300848387577,5.687681987503665,5.751921231728624,7.271776664515525,0.264234396048943,0.2656049575450919,82022160.74795428,0.14938589760976692,21785492.524162084,18132555.0824338,3164273.3793712,21622083.5305664,17994097.61392972,20408211.59089973,36168189.81230187,398447.161701831,5574.428404699784,0.030355097678000573,4.974973686323208,0.5863947633645602,89843721.43464284,20523899.72452981,67803135.53889108,71280013.81800486,3476878.2791137896,200533442.30651143,27576952.862847902,63545896.55199457,8738702.999789711,9233376.058576198,9235822.377739137,3499768.419461757,0.05161661612931204,1077795.0214541368,2421973.39800762,25297529.001530338,148216.18858379027,0.06022934551867686,40226734.7613521,1029338.2070192335,19579.772597652813,47899695.28148017,190690181.69492486,3177294.8275997285,5574.428404699784,20284600.73965603,2789497.21305919,2344133.866051168,52263950.06236916,70979190.18999158,186897.864339501,1029338.2070192335,40226734.7613521,3177294.8275997285,2394984.764074009,5572279.591673736,5572279.591673736,5572279.591673736,0.035,0.055,18.18181818181818,47899695.28148017,20408211.59089973,25297529.001530338,2394984.764074009,6464935.709343314,6464935.7089629145,0.13496820118539055,0.0179000012448172,6.165093456877991e-138,1.0,-2.0827299002131885e-136,2.2703034792082196e-136,0.05987764634772079,4414209.20651677,5675567.769841678,-442458.54718145175,0.02,1540749.05943532,1098290.5122538782,2088688.526399008,0.04197764510290359,547939.466963688,6665965.783986817,0.14584526358428532,45705740.59243007
6,14905463.301973509,14785897.30459921,2957179.460919842,2279638.809132186,2193413.0112674697,21756601.20033203,0.030924420370577993,0.7062870700000425,0.05537823600048008,0.0034289720966979493,2903788.9414991275,14800410.3101794,107994322.39506218,12484142.762892516,21188109.825565938,158751639.65108535,108184083.19615486,138793.7887308913,0.997654030941863,1.0,4.0120919576240477e-143,-1.2581938779925276e-139,972522.6004134236,170533.080305947,87.40511386554331,87.23365874794298,84836704.6490248,5.691651640110465,5.702838409231879,5.7666430967102285,7.296711383791568,0.265330845245862,0.266397463894665,84854901.58435059,0.14609007267242954,22605130.581892822,18818729.9055999,3298448.8425879,22423574.90351304,18661614.14074471,20890132.747690562,35811307.742543355,408164.231817995,5655.227561604545,0.030220508473732827,5.034787321637027,0.5961420760298208,93027174.90079725,21251127.834338125,70261290.57143427,74088853.96325438,3827563.3918201053,208780864.45194268,28613008.44592995,65841431.817823626,9023439.239229303,9523915.903599028,9534934.758126736,3654198.7763877185,0.05200870559980796,1124445.8762346883,2529752.90015303,26421974.87776499,154103.10441034965,0.05965077223984711,41987242.52806869,1077906.9562397192,20252.826376305733,49049235.917542025,198747153.78685734,3292071.5908911815,5655.227561604545,20964780.751672603,2873182.12945097,2377199.5908280513,53758081.485552,73356389.78081961,195029.785708581,1077906.9562397192,41987242.52806869,3292071.5908911815,2452461.7958771014,5744533.386768283,5744533.386768283,5744533.386768283,0.035,0.055,18.18181818181818,49049235.917542025,20890132.747690562,26421974.87776499,2452461.7958771014,6026305.57071502,6026305.570403532,0.12286237405720624,0.0172000012448172,1.135162601254815e-155,1.0,-1.2352282844937432e-154,6.450418200484488e-154,0.05899709852318886,4570574.05924301,5827809.094089294,-429992.45807953115,0.02,1597342.88035312,1167350.4222735886,2081180.402378453,0.04179709727837166,483837.522025333,6741639.0741941575,0.1424928926775144,47312107.62545555
7,15385448.985666351,15256758.191608222,3051351.638321645,2322103.8053255966,2236607.356909965,22429434.016574316,0.03092545614303252,0.7071623386391596,0.056088973569696,0.003639337790948116,2993609.466281716,15269093.763731666,111819644.08662795,12772680.41561785,21923000.16189046,164256724.57098284,112066315.7123526,142957.6023928177,1.00060401633318,1.0,1.14718623283872e-159,2.7055640809450064e-156,1004730.0064947446,175649.072715125,87.59197385916734,87.4486478146776,87862280.48809454,5.710738800922408,5.720098551975818,5.783729513723137,7.323266581280222,0.266184140164904,0.2665584960063673,87822023.1557352,0.14376664975271994,23409706.41036968,19493061.0395207,3420716.35153091,23220836.39797349,19328840.17152207,21371442.29689734,36140960.64720347,417802.654953811,5736.586649178121,0.02986629419681334,5.0739754272244255,0.602401671555661,96329320.6760878,22005470.015245497,72765030.80580157,76113524.71720967,3348493.911408089,216670056.27511612,29586531.347755115,68224332.8940358,9316106.70411545,9826685.964491712,9832389.128112886,3763728.3290097015,0.051724410572121626,1121530.841233201,2642197.4877765,27543505.718998197,153146.25360952684,0.059791348958301134,44140062.17769676,1144283.7368370006,20834.166613600002,49537600.62464862,206456317.9774289,3411216.64470179,5736.586649178121,21672311.0307017,2959377.5933345,2425222.155153355,54976453.08439116,75781611.935973,201058.66853689,1144283.7368370006,44140062.17769676,3411216.64470179,2476880.031232431,5888096.675934221,5888096.675934221,5888096.675934221,0.035,0.055,18.181818181818183,49537600.62464862,21371442.29689734,27543505.718998197,2476880.031232431,4948294.230760187,4948294.230506055,0.09988966294907504,0.017200001252998212,-4.29681489861759e-173,-1.1687174219286758e-08,-4.813928034163298e-171,-4.6033777466152454e-170,0.059932438081728275,4731210.76254555,5937467.74953471,-386368.6697056377,0.02,1655216.47290117,1268847.8031955326,2133901.70664622,0.04273243682873006,478685.2337450498,6802521.6529854,0.13906836107178605,48914948.01589553
8,15868190.135233896,15731729.35802951,3146345.8716059024,2373068.1341143553,2293939.798348778,23119216.525248617,0.03075345138734212,0.7074717143334087,0.05824665544615874,0.003503097365829624,3082330.2352223163,15736292.1394154,115644762.99977422,13149450.155800225,22651800.46108685,169901288.8243668,115973407.23063594,147246.33046460245,1.00307002460029,1.0,-6.850324031399695e-177,8.640621755449995e-174,1038304.3820843601,180918.544896579,87.70903029492669,87.60487730282702,90960527.99538496,5.732255992688566,5.73907104259425,5.802618014970358,7.348920697150395,0.266483624838075,0.26653462044875104,90895672.25543791,0.14217174132648666,24226843.50547937,20169160.1489392,3542338.59251086,23918738.12624254,19886671.622545894,21955303.276489943,37437755.68382107,427428.845937947,5819.1193667901,0.029638783871572007,5.096583246435693,0.6031904165292513,99758713.92416568,22788880.608836412,75319083.86427169,77790997.09809296,2471913.233821258,223868769.0182598,30462809.199317954,70592284.35494976,9605802.983058544,10136538.75892893,10145716.715901583,3830829.3688515243,0.050861337821536505,1076478.796951704,2754350.57189982,28619984.515949905,146481.2101406871,0.06053869522455004,46000500.90935036,1196825.5538591295,21250.239465015457,50652896.84934351,213451557.87822053,3529614.217747488,5819.1193667901,22400678.183737613,3048158.92113454,2474173.786034191,56495321.10638668,78255785.7220072,206083.383657698,1196825.5538591295,46000500.90935036,3529614.217747488,2532644.842467176,6062259.060214664,6062259.060214664,6062259.060214664,0.035,0.055,18.18181818181818,50652896.84934351,21955303.276489943,28619984.515949905,2532644.842467176,4432561.136821649,4432561.13672828,0.08750854171143285,0.0172000012529982,2.2104701260958315e-190,1.0212730986216046e-26,-3.598888986705584e-189,-2.2623622736524364e-187,0.06195379651727106,4891494.80158955,6038110.91242706,-336981.8946203937,0.02,1714614.6303989901,1377632.7357785963,2227118.7456433293,0.04475379526427285,512504.1152443394,6887596.922291792,0.13618502677738226,50575287.79243985
9,16350569.680259788,16208408.398070011,3241681.6796140024,2436101.08053856,2359773.4819393884,23826880.915984422,0.030609358667625243,0.7072285370225775,0.05984227049045154,0.0034218845530823642,3173791.217484121,16208435.892542161,119522106.10098147,13580464.418079644,23403751.79650298,175701036.65626976,119900978.05797666,151663.72037854022,1.00486203763236,1.0,-2.26203176745212e-194,-2.025442031410203e-193,1073095.0805966181,186346.101243476,87.74301995677934,87.68776289519839,94097306.9912254,5.754986451949258,5.758612997190794,5.822286354053748,7.37406785536578,0.266524421326616,0.2662012646913084,94041686.79166268,0.14152776398574768,25034015.95775839,20839656.4241999,3648803.5011583,24610141.750489615,20442986.50476446,22664819.465778418,39102755.905943505,439106.065529799,5903.009048549025,0.029507293850039026,5.107722781197816,0.6016331181295002,103198576.59797554,23574682.83804153,77850777.06290539,80071416.06402618,2220639.001120792,230973481.41775408,31322397.074175477,72966703.66453193,9895040.986289458,10451787.71155828,10453487.205737919,3909906.7234475086,0.05022309180381938,1047908.2718525187,2861998.45159499,29667892.78780242,142107.2184858643,0.06153971756980327,47652882.762999564,1242534.4443884809,21601.512830805874,52170560.92668108,220261011.95702353,3648335.183226596,5903.009048549025,23151650.639946543,3139603.68876858,2538950.5273801647,58203200.896869585,80794736.24938741,212179.067107513,1242534.4443884809,47652882.762999564,3648335.183226596,2608528.0463340543,6256863.229560651,6256863.229560651,6256863.229560651,0.035,0.05500000000000001,18.181818181818183,52170560.92668108,22664819.465778418,29667892.78780242,2608528.0463340543,4293454.904309364,4293454.90427015,0.0822965064605075,0.0172000012529982,-3.1817097856860227e-208,3.144700732943594e-45,-1.2993779629097009e-207,-2.854656837790418e-205,0.06346892838456675,5057528.77924399,6155569.665072676,-292921.19168931624,0.02,1774393.1306287302,1481471.938939414,2390036.5513706976,0.04626892713156855,615643.4207419676,7064134.277503959,0.13498505950295653,52332712.25358084
